Architecture,Seed,Run Instance ID,Directory,Trajectories,Timestamp,Report SG,Coh SG,Report Cosine
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_linear_all\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-08-05 15:26:09,N/A,N/A,0.587
linear,43,multiseed_linear_seed43,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_linear_all\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed43,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0644,0.941
linear,44,multiseed_linear_seed44,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_linear_all\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed44,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0178,0.941
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_linear_all\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-08-05 15:26:09,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_mlp_seed43\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-08-05 15:26:09,N/A,N/A,0.587
mlp,43,multiseed_mlp_seed43,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_mlp_seed43\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed43,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0149,0.947
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_mlp_seed43\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-08-05 15:26:09,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_mlp_seed44\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-08-05 15:26:10,N/A,N/A,0.587
mlp,44,multiseed_mlp_seed44,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_mlp_seed44\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed44,train=5000 val=491 test=970,2026-08-05 15:26:10,True Action,-0.0144,0.945
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\final_audit_extracted\phase3_mlp_seed44\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-08-05 15:26:10,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-08-05 15:26:08,N/A,N/A,0.587
linear,42,multiseed_linear_seed42,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed42,train=5000 val=491 test=970,2026-08-05 15:26:08,True Action,-0.0196,0.941
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-08-05 15:26:08,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(1)\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-08-05 15:26:09,N/A,N/A,0.587
mlp,42,multiseed_mlp_seed42,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(1)\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed42,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0255,0.947
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(1)\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-08-05 15:26:09,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(3)\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-08-05 15:26:09,N/A,N/A,0.587
transformer,42,multiseed_transformer_seed42,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(3)\latent_planning\legacy\v1_submission\reports\multiseed_transformer_seed42,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0206,0.946
transformer,43,multiseed_transformer_seed43,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(3)\latent_planning\legacy\v1_submission\reports\multiseed_transformer_seed43,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0242,0.946
transformer,44,multiseed_transformer_seed44,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(3)\latent_planning\legacy\v1_submission\reports\multiseed_transformer_seed44,train=5000 val=491 test=970,2026-08-05 15:26:09,True Action,-0.0314,0.947
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\final_audit_extracted\results(3)\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-08-05 15:26:09,N/A,N/A,0.987
unknown,unknown,reports,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\kaggle_extract\reports,train=20 val=20 test=20,2026-06-13 08:42:52,N/A,N/A,0.435
unknown,unknown,reports,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\notebook_output\latent2\reports,train=5000 val=491 test=970,2026-06-27 14:12:41,N/A,N/A,0.959
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-06-29 06:23:12,N/A,N/A,0.587
unknown,unknown,reports,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports,train=20 val=20 test=20,2026-06-28 18:58:27,N/A,N/A,0.359
linear,unknown,linear,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\linear,train=20 val=20 test=20,2026-06-30 05:28:47,N/A,-0.1,0.893
linear,42,linear_seed42,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\linear_seed42,train=20 val=20 test=20,2026-06-30 06:12:52,N/A,-0.075,0.892
linear,43,linear_seed43,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\linear_seed43,train=20 val=20 test=20,2026-06-30 06:14:01,N/A,-0.0875,0.893
linear,44,linear_seed44,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\linear_seed44,train=20 val=20 test=20,2026-06-30 06:15:03,N/A,-0.1,0.892
mlp,unknown,mlp,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\mlp,train=20 val=20 test=20,2026-06-30 05:29:54,N/A,-0.125,0.891
mlp,42,mlp_seed42,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\mlp_seed42,train=20 val=20 test=20,2026-06-30 06:16:07,N/A,-0.0625,0.894
mlp,43,mlp_seed43,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\mlp_seed43,train=20 val=20 test=20,2026-06-30 06:17:10,N/A,-0.0875,0.892
mlp,44,mlp_seed44,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\mlp_seed44,train=20 val=20 test=20,2026-06-30 06:18:15,N/A,-0.075,0.892
linear,42,multiseed_linear_seed42,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed42,train=20 val=20 test=20,2026-07-22 05:48:13,True Action,-0.075,0.892
linear,43,multiseed_linear_seed43,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed43,train=20 val=20 test=20,2026-07-22 05:52:30,True Action,-0.0875,0.893
linear,44,multiseed_linear_seed44,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed44,train=20 val=20 test=20,2026-07-22 05:56:54,True Action,-0.1,0.892
mlp,42,multiseed_mlp_seed42,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed42,train=20 val=20 test=20,2026-07-22 06:01:36,True Action,-0.0625,0.894
mlp,43,multiseed_mlp_seed43,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed43,train=20 val=20 test=20,2026-07-22 06:06:08,True Action,-0.0375,0.892
mlp,44,multiseed_mlp_seed44,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed44,train=20 val=20 test=20,2026-07-22 06:10:40,True Action,-0.075,0.892
transformer,42,multiseed_transformer_seed42,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_transformer_seed42,train=20 val=20 test=20,2026-07-22 06:15:03,True Action,0.0,0.895
transformer,43,multiseed_transformer_seed43,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_transformer_seed43,train=20 val=20 test=20,2026-07-22 06:19:20,True Action,0.0125,0.895
transformer,44,multiseed_transformer_seed44,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\multiseed_transformer_seed44,train=20 val=20 test=20,2026-07-22 06:24:01,True Action,0.0,0.895
unknown,unknown,smoke_test,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\smoke_test,train=5000 val=491 test=970,2026-07-22 05:43:13,True Action,-0.0113,0.396
transformer,unknown,transformer,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\transformer,train=20 val=20 test=20,2026-06-30 05:31:04,N/A,0.0125,0.895
transformer,42,transformer_seed42,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\transformer_seed42,train=20 val=20 test=20,2026-06-30 06:19:22,N/A,0.0,0.891
transformer,43,transformer_seed43,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\transformer_seed43,train=20 val=20 test=20,2026-06-30 06:20:27,N/A,0.0,0.895
transformer,44,transformer_seed44,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\reports\transformer_seed44,train=20 val=20 test=20,2026-06-30 06:21:31,N/A,-0.025,0.894
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-06-29 18:15:37,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\results_extracted\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-07-24 08:07:00,N/A,N/A,0.587
linear,42,multiseed_linear_seed42,C:\Users\singh\Documents\latent_planning\results_extracted\latent_planning\legacy\v1_submission\reports\multiseed_linear_seed42,train=5000 val=491 test=970,2026-07-24 08:07:22,True Action,-0.0196,0.941
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\results_extracted\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-07-24 08:29:30,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\review_extracted\mlp_seed43\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-07-27 16:21:43,N/A,N/A,0.587
mlp,43,multiseed_mlp_seed43,C:\Users\singh\Documents\latent_planning\review_extracted\mlp_seed43\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed43,train=5000 val=491 test=970,2026-07-27 16:21:19,True Action,-0.0149,0.947
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\review_extracted\mlp_seed43\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-07-27 16:21:18,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\review_extracted\mlp_seed44\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-07-27 16:20:50,N/A,N/A,0.587
mlp,44,multiseed_mlp_seed44,C:\Users\singh\Documents\latent_planning\review_extracted\mlp_seed44\latent_planning\legacy\v1_submission\reports\multiseed_mlp_seed44,train=5000 val=491 test=970,2026-07-27 16:20:51,True Action,-0.0144,0.945
unknown,unknown,deepseek_r1_countdown,C:\Users\singh\Documents\latent_planning\review_extracted\mlp_seed44\latent_planning\legacy\v1_submission\research_archive\experiments\deepseek_r1_countdown,train=5000 val=473 test=926,2026-07-27 16:20:50,N/A,N/A,0.987
unknown,unknown,quick_smoke,C:\Users\singh\Documents\latent_planning\review_extracted\results_1\latent_planning\legacy\v1_submission\quick_smoke,train=20 val=20 test=20,2026-07-27 16:20:25,N/A,N/A,0.587
