target,numbers,num_available,occurrences,unique_trajectories,unique_histories,swap_candidates_A,swap_candidates_B,splits
5003,3|4|25|50|75|100,6,1,1,1,0,0,train
5003,3|4|25|75|5000,5,1,1,1,0,0,train
5003,4|25|75|5003,4,1,1,1,0,0,train
13,1|3|6|7|9|100,6,1,1,1,0,0,train
13,1|3|6|16|100,5,1,1,1,0,0,train
13,1|6|13|100,4,1,1,1,0,0,train
84,1|5|6|10|75|100,6,1,1,1,0,0,train
84,1|5|10|75|94,5,1,1,1,0,0,train
84,5|10|75|94,4,1,1,1,0,0,train
84,5|75|84,3,1,1,1,0,0,train
74,1|2|6|25|50|100,6,1,1,1,0,0,train
74,2|6|26|50|100,5,1,1,1,0,0,train
74,2|6|50|74,4,1,1,1,0,0,train
3,1|4|5|5|9|50,6,1,1,1,0,0,train
3,1|1|5|9|50,5,1,1,1,0,0,train
3,1|6|9|50,4,1,1,1,0,0,train
3,1|3|50,3,1,1,1,0,0,train
7506,5|6|25|50|75|100,6,1,1,1,0,0,train
7506,5|6|25|50|7500,5,1,1,1,0,0,train
7506,5|25|50|7506,4,1,1,1,0,0,train
52,1|3|4|5|6|50,6,1,1,1,0,0,train
52,3|4|5|6|49,5,1,1,1,0,0,train
52,4|5|6|52,4,1,1,1,0,0,train
27,8|10|25|50|75|100,6,1,1,1,0,0,train
27,10|17|50|75|100,5,1,1,1,0,0,train
27,27|50|75|100,4,1,1,1,0,0,train
250,1|4|6|10|50|100,6,1,1,1,0,0,train
250,5|6|10|50|100,5,1,1,1,0,0,train
250,6|10|100|250,4,1,1,1,0,0,train
42,1|3|4|5|7|50,6,1,1,1,0,0,train
42,1|5|7|7|50,5,1,1,1,0,0,train
42,5|6|7|50,4,1,1,1,0,0,train
42,5|42|50,3,1,1,1,0,0,train
12500,1|2|4|10|25|50,6,1,1,1,0,0,train
12500,1|2|4|10|1250,5,1,1,1,0,0,train
12500,1|2|4|12500,4,1,1,1,0,0,train
1249,1|10|25|50|75|100,6,1,1,1,0,0,train
1249,1|10|75|100|1250,5,1,1,1,0,0,train
1249,10|75|100|1249,4,1,1,1,0,0,train
108,1|2|6|9|10|100,6,1,1,1,0,0,train
108,2|6|9|10|100,5,1,1,1,0,0,train
108,6|9|10|102,4,1,1,1,0,0,train
108,9|10|108,3,1,1,1,0,0,train
81,2|3|25|50|75|100,6,1,1,1,0,0,train
81,6|25|50|75|100,5,1,1,1,0,0,train
81,25|50|81|100,4,1,1,1,0,0,train
630000,6|9|25|50|75|100,6,1,1,1,0,0,train
630000,6|34|50|75|100,5,1,1,1,0,0,train
630000,6|75|84|100,4,1,1,1,0,0,train
630000,6|75|8400,3,1,1,1,0,0,train
630000,6|630000,2,1,1,1,0,0,train
135,1|3|6|25|50|100,6,1,1,1,0,0,train
135,4|6|25|50|100,5,1,1,1,0,0,train
135,6|29|50|100,4,1,1,1,0,0,train
135,6|50|129,3,1,1,1,0,0,train
135,50|135,2,1,1,1,0,0,train
131,6|8|25|50|75|100,6,1,1,1,0,0,train
131,6|8|50|75|125,5,1,1,1,0,0,train
131,8|50|75|131,4,1,1,1,0,0,train
233,3|4|5|6|7|50,6,1,1,1,0,0,train
233,3|5|6|7|46,5,1,1,1,0,0,train
233,3|6|7|230,4,1,1,1,0,0,train
233,6|7|233,3,1,1,1,0,0,train
374971,4|7|25|50|75|100,6,1,1,1,0,0,train
374971,4|7|25|50|7500,5,1,1,1,0,0,train
374971,4|7|25|375000,4,1,1,1,0,0,train
374971,4|7|374975,3,1,1,1,0,0,train
374971,7|374971,2,1,1,1,0,0,train
33,6|7|10|25|75|100,6,1,1,1,0,0,train
33,6|17|25|75|100,5,1,1,1,0,0,train
