oracle,metric,delta_depth,value,n,ci_lo,ci_hi
oracle0,probeA_exact,all,0.957130,19874,,
oracle0,probeA_per_label,all,0.986502,19874,,
oracle0,probeA_jaccard,all,0.974011,19874,,
oracle0,probeB_accuracy,all,0.669065,19874,,
oracle0,probeC_accuracy,all,0.653014,19874,,
oracle0,probeD_accuracy,all,0.838080,19874,,
coverage,coverage_rate,all,0.011321,19874,0.009942,0.012890
oracle1,probeA_exact,all,0.417379,19874,0.410523,0.424236
oracle1,probeA_per_label,all,0.814984,19874,,
oracle1,probeA_jaccard,all,0.653127,19874,,
oracle2a,gtA_exact,all,0.404255,235,0.341377,0.467133
oracle2a,gtA_exact,0,0.404255,235,,
oracle2a,gtA_jaccard,all,0.846809,235,0.808407,0.885210
oracle2a,gtA_jaccard,0,0.846809,235,,
oracle2a,gtA_per_label,all,0.743617,235,0.709292,0.777942
oracle2a,gtA_per_label,0,0.743617,235,,
oracle2a,gtB_abs_diff,all,0.255319,235,0.187068,0.323570
oracle2a,gtB_abs_diff,0,0.255319,235,,
oracle2a,gtB_agreement,all,0.791489,235,0.739439,0.843540
oracle2a,gtB_agreement,0,0.791489,235,,
oracle2a,gtC_agreement,all,0.857143,235,0.811215,0.903070
oracle2a,gtC_agreement,0,0.857143,235,,
oracle2a,gtD_agreement,all,0.906383,235,0.869060,0.943706
oracle2a,gtD_agreement,0,0.906383,235,,
oracle2a,probeA_pred_exact,all,0.336170,235,0.275643,0.396697
oracle2a,probeA_pred_exact,0,0.336170,235,,
oracle2a,probeA_pred_jaccard,all,0.755319,235,0.708327,0.802312
oracle2a,probeA_pred_jaccard,0,0.755319,235,,
oracle2a,probeA_pred_per_label,all,0.698936,235,0.662492,0.735380
oracle2a,probeA_pred_per_label,0,0.698936,235,,
oracle2a,probeB_pred_abs_diff,all,0.255319,235,0.188100,0.322538
oracle2a,probeB_pred_abs_diff,0,0.255319,235,,
oracle2a,probeB_pred_agreement,all,0.787234,235,0.734796,0.839672
oracle2a,probeB_pred_agreement,0,0.787234,235,,
oracle2a,probeC_pred_agreement,all,0.753191,235,0.697949,0.808434
oracle2a,probeC_pred_agreement,0,0.753191,235,,
oracle2a,probeD_pred_agreement,all,0.957447,235,0.931585,0.983309
oracle2a,probeD_pred_agreement,0,0.957447,235,,
oracle2b,delta_transition_accuracy,all,0.182979,235,0.114498,0.251460
oracle2b,delta_transition_accuracy,0,0.182979,235,,
oracle2b,oracle1_paired_exact,all,0.306383,235,0.247318,0.365448
oracle2b,oracle1_paired_exact,0,0.306383,235,,
oracle2b,probeA_exact,all,0.123404,235,0.081263,0.165545
oracle2b,probeA_exact,0,0.123404,235,,
oracle2b,probeA_jaccard,all,0.527660,235,0.474205,0.581114
oracle2b,probeA_jaccard,0,0.527660,235,,
oracle2b,probeA_per_label,all,0.561702,235,0.527772,0.595633
oracle2b,probeA_per_label,0,0.561702,235,,
